# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 57

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.24          0.00 B        0          0.00 B
    2.49          0.00 B        0          0.00 B
    2.74          0.00 B        4        9.38 MiB
    2.99          0.00 B        4        9.38 MiB
    3.24          0.00 B        4        9.38 MiB
    3.49          0.00 B       11      247.31 MiB
    3.74          0.00 B       11      247.31 MiB
    3.99          0.00 B       11      247.29 MiB
    4.24          0.00 B       13      247.30 MiB
    4.49          0.00 B       15      254.32 MiB
    4.74          0.00 B       18      261.35 MiB
    4.99          0.00 B       12      697.29 MiB
    5.24          0.00 B       12      697.29 MiB
    5.49          0.00 B       14      922.29 MiB
    5.74          0.00 B       13      922.29 MiB
    5.99          0.00 B       17      473.38 MiB
    6.24          0.00 B       15      472.60 MiB
    6.49          0.00 B       15      472.60 MiB
    6.74          0.00 B       15      472.60 MiB
    6.99          0.00 B       16      472.60 MiB
    7.24          0.00 B       15      472.76 MiB
    7.49          0.00 B       15      472.76 MiB
    7.74          0.00 B       18      475.57 MiB
    7.99          0.00 B       15      472.92 MiB
    8.25          0.00 B       15      472.92 MiB
    8.50          0.00 B       17      474.17 MiB
    8.75          0.00 B       15      473.07 MiB
    9.00          0.00 B       15      473.07 MiB
    9.25          0.00 B       15      473.07 MiB
    9.52          0.00 B       14      472.45 MiB
    9.77          0.00 B       14      472.45 MiB
   10.02          0.00 B       14      472.45 MiB
   10.27          0.00 B       14      472.45 MiB
   10.52          0.00 B       14      472.45 MiB
   10.77          0.00 B       20      473.07 MiB
   11.03          0.00 B       22      473.38 MiB
   11.28          0.00 B       23      474.17 MiB
   11.53          0.00 B       23      474.48 MiB
   11.78          0.00 B       23      474.48 MiB
   12.03          0.00 B       23      474.17 MiB
   12.28          0.00 B       23      474.17 MiB
   12.53          0.00 B       23      473.85 MiB
   12.78          0.00 B       23      474.17 MiB
   13.03          0.00 B       23      473.85 MiB
   13.28          0.00 B       23      474.17 MiB
   13.53          0.00 B       23      474.17 MiB
   13.78          0.00 B       23      474.48 MiB
   14.03          0.00 B       23      474.17 MiB
   14.28          0.00 B       23      473.54 MiB
   14.53          0.00 B       23      474.48 MiB
   14.78          0.00 B       23      473.54 MiB
   15.03          0.00 B       23      474.48 MiB
   15.28          0.00 B       15      472.60 MiB
   15.78          0.00 B        0          0.00 B
   16.03          0.00 B        0          0.00 B
   16.28          0.00 B        0          0.00 B
   16.51          0.00 B        0          0.00 B
