# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -6.28841535E+64  2.33750278E+00  7.39778615E-01  1.33799491E+00
  -6.07868641E+60  2.71928816E+00  -6.53753622E-01  1.51390038E+00
  -1.08980058E+60  6.18386319E-01  -7.75857411E-01  1.28185787E-01
  -6.51763139E+58  6.84297120E-01  1.05157740E-01  8.20511407E-01
  -7.56398939E+56  1.45619300E-01  3.23066774E-01  -2.03093968E-01
  -1.33362015E+56  2.18369094E-02  -3.53750681E-02  1.43476528E-01
  -6.26906076E+55  7.98866912E-01  -1.96741709E-01  -8.71871328E-01
  -5.17493634E+55  9.53722464E-01  9.54704398E-01  -2.05577178E-01
  -4.90464123E+55  1.32611117E+00  1.08167593E+00  3.95080186E-01
  -3.86552518E+55  4.30132245E-01  -5.90876177E-01  -2.84600753E-01
  -3.14636912E+55  2.24810341E-01  -3.43663838E-01  -3.26658089E-01
  -2.66947980E+55  7.87804642E-01  8.87281396E-01  -2.31595973E-02
  -2.40495711E+55  1.10558754E+00  -1.02156669E+00  2.48975952E-01
  -2.33312992E+55  4.52108862E-01  2.38694075E-01  -6.28596851E-01
  -2.10712842E+55  1.12721405E+00  7.28602413E-01  -7.72238676E-01
  -2.07042025E+55  7.42667808E-01  -6.94521328E-01  5.10203815E-01
  -1.99733711E+55  1.42503008E+00  3.40062762E-01  -1.14428467E+00
  -1.93500518E+55  4.32377515E-01  4.23472356E-02  6.56189170E-01
  -1.88578868E+55  1.04435827E-01  3.19538162E-01  4.82824057E-02
  -1.85205297E+55  1.03824830E+00  -1.01599006E+00  -7.75402382E-02
  -1.78563292E+55  1.76644633E-02  -1.64444010E-03  1.32897551E-01
  -1.73218080E+55  4.55637275E-02  1.18568874E-01  1.77496900E-01
  -1.65717315E+55  1.54688118E+00  1.23357770E+00  -1.58641885E-01
  -1.60287442E+55  1.12211786E+00  4.86615474E-01  -9.40916173E-01
  -1.50793836E+55  4.62709169E+00  1.27522928E+00  -1.73230539E+00
  -1.45815402E+55  2.17191599E+00  1.39982348E+00  4.60879826E-01
  -1.40831038E+55  3.49311119E-01  -5.75771968E-01  1.33408242E-01
  -1.36281663E+55  1.28373156E-01  3.37583376E-01  1.20044242E-01
  -1.35248466E+55  7.24261678E-01  7.46496588E-01  4.08661869E-01
  -1.32746708E+55  3.80916297E-01  3.46568744E-01  -5.10692082E-01
  -1.28287929E+55  2.68274571E+00  -1.61854608E+00  -2.51106137E-01
  -1.23950520E+55  1.32441584E+00  -1.15064771E+00  2.06321438E-02
  -1.19743454E+55  1.46858507E+00  7.01075510E-02  1.20982230E+00
  -1.18911472E+55  6.49913662E-01  3.86845637E-01  7.07293514E-01
  -1.14128324E+55  2.44106700E-02  1.45380800E-01  -5.72284275E-02
  -1.11794713E+55  4.17445334E-01  -2.16272763E-01  -6.08827911E-01
  -1.08065746E+55  7.26681937E-02  -1.33360969E-01  -2.34271308E-01
  -1.07128619E+55  3.18956422E-01  -5.26368544E-01  2.04676764E-01
  -1.00038045E+55  5.35542722E-02  -1.22375927E-01  1.96413861E-01
  -9.82447802E+54  3.23190612E-03  -5.63713449E-02  -7.36054295E-03
  -9.58883863E+54  1.00173155E+00  3.00005095E-01  9.54844750E-01
  -9.23250164E+54  3.11468904E-01  1.94579271E-01  -5.23075341E-01
  -9.15875565E+54  2.82435112E-01  -4.86719250E-01  -2.13399821E-01
  -8.91975895E+54  5.16602999E-02  1.78084182E-01  -1.41231455E-01
