# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.93320511E+00  9.85517835E-01  7.84925592E-01  -6.07790795E-01
  2.93402253E+00  2.01821780E+01  2.66281243E+00  -3.61823272E+00
  2.93432949E+00  1.83020967E+01  3.04313087E+00  -3.00690061E+00
  2.93589297E+00  2.27919755E+01  -4.45314692E+00  1.72088873E+00
  2.93653417E+00  1.46299681E+01  1.72765673E+00  3.41250206E+00
  2.93756578E+00  5.39750291E+00  -1.86157986E+00  1.38997242E+00
  2.93983884E+00  1.12408393E+00  -2.46640254E-01  1.03114137E+00
  2.94116907E+00  1.75731270E+01  -3.14305946E+00  -2.77386090E+00
  2.95873134E+00  5.15278450E+01  5.24720580E+00  -4.89843611E+00
  2.95932128E+00  3.19902341E+01  -2.85458280E+00  -4.88278518E+00
  2.95978874E+00  8.55209687E-01  -4.38153642E-01  8.14390001E-01
  2.96172801E+00  6.96946791E+01  7.63410954E+00  3.37861669E+00
  2.96294750E+00  2.96691627E+01  3.45723907E+00  4.20911637E+00
  2.96396139E+00  1.15560731E+00  8.19800768E-01  -6.95366095E-01
  2.96463276E+00  9.57982216E-01  -1.54342182E-01  9.66519895E-01
  2.96500504E+00  1.16466221E+00  5.88715456E-01  -9.04475718E-01
  2.96685664E+00  5.43469707E-01  -3.84492068E-01  6.28995673E-01
  2.96781334E+00  2.92415416E+00  7.77207862E-01  1.52318814E+00
  2.96875706E+00  2.01260020E-01  1.07621481E-01  4.35519961E-01
  2.96957792E+00  4.81133382E+00  -1.38509526E+00  1.70083654E+00
  2.97051312E+00  2.27873698E+00  1.46097555E+00  -3.79851839E-01
  2.97458164E+00  1.93343545E+01  8.25566868E-01  -4.31888804E+00
  2.97580561E+00  2.02089973E+00  -1.31833979E+00  -5.31864570E-01
  2.98103209E+00  7.66213626E+00  1.38610981E+00  -2.39600415E+00
  2.98384459E+00  9.10493846E-01  9.41411189E-01  -1.55688213E-01
  2.98494242E+00  9.80704910E-01  -9.51028872E-01  2.76132206E-01
  2.98918893E+00  7.56140756E-01  7.28012399E-01  -4.75540432E-01
  3.00603458E+00  4.49003191E+00  -1.75283646E+00  -1.19062851E+00
  3.01007187E+00  4.52342932E+01  3.84835681E+00  5.51583566E+00
  3.01147522E+00  4.66302282E+01  -6.59079440E+00  1.78652102E+00
  3.01229036E+00  6.15868297E+01  6.90418256E+00  -3.73083005E+00
  3.01302516E+00  4.12494014E+01  4.47362524E+00  4.60826199E+00
  3.01392210E+00  1.89186381E+01  1.81254918E+00  3.95389726E+00
  3.01510627E+00  1.35039346E+00  -9.14016894E-01  7.17611719E-01
  3.02586506E+00  2.19710926E+00  -1.17342441E+00  -9.05640333E-01
  3.02747834E+00  3.19880099E+01  4.29769604E+00  3.67665863E+00
  3.20011237E+00  2.37266688E+00  -1.38785113E+00  6.68233584E-01
  3.20101872E+00  2.76932254E+00  9.18447071E-01  1.38772386E+00
  3.20151868E+00  5.24777554E+01  -3.55115907E+00  6.31403394E+00
  3.20173521E+00  5.81233565E+01  7.23711113E+00  -2.39741088E+00
  3.20216873E+00  4.30272386E+01  -3.95366438E+00  -5.23409749E+00
  3.20325381E+00  3.33333382E+02  1.57056777E+01  -9.30940762E+00
  3.20376548E+00  8.16148553E+01  3.42058083E+00  8.36148803E+00
  3.20437261E+00  4.88243381E+00  2.17811995E+00  -3.71789286E-01
  3.21757140E+00  1.93072367E+00  -1.38944851E+00  -1.25106614E-02
  3.21804454E+00  4.24336631E+00  -1.81401867E+00  9.76064834E-01
  3.21898210E+00  2.89860352E+02  1.69931867E+01  1.04496819E+00
  3.22091640E+00  5.07229752E-01  -6.48988603E-01  -2.93331801E-01
  3.27026881E+00  4.97414599E-01  6.90618753E-01  1.43039637E-01
  3.27065704E+00  1.83379167E-01  -4.03152257E-01  1.44386375E-01
  3.27150513E+00  4.70427441E-02  -1.86014222E-01  1.11541263E-01
  3.27248683E+00  2.88079684E-03  -4.16323012E-02  3.38754827E-02
  3.27295154E+00  2.76812446E-02  1.55557900E-01  5.90168136E-02
  3.27370841E+00  5.07246532E-01  9.19775902E-02  7.06248295E-01
  3.27419194E+00  3.06969909E-02  -3.00575700E-02  -1.72608034E-01
  3.27472388E+00  6.33078475E-02  6.93866305E-02  2.41853970E-01
  3.29316432E+00  8.72099690E-04  -2.84823592E-02  -7.80095523E-03
  3.29500560E+00  3.41774171E-02  -1.82286185E-01  -3.08085009E-02
  3.29513658E+00  7.59237006E-02  -1.31568923E-02  -2.75228263E-01
  3.29622548E+00  1.18930795E-02  1.10868974E-03  -1.09049761E-01
  3.31844594E+00  2.91237165E+00  1.70656624E+00  -1.82202761E-03
  3.31865034E+00  4.30060560E-01  2.77919846E-01  -5.93987474E-01
  3.31892889E+00  3.79466205E-01  2.99039930E-02  6.15282013E-01
  3.31910279E+00  1.37190321E-01  5.57175368E-02  -3.66177385E-01
  3.32050310E+00  3.19229675E-01  3.85340731E-01  -4.13209628E-01
  3.32087216E+00  3.13876881E-01  -2.97625966E-01  -4.74653205E-01
  3.32099639E+00  2.13476853E+00  -1.46064899E+00  3.56801141E-02
