# memory_timeline.txt — live-array sampler output
# Interval: 0.500s  |  Samples: 110

── Peak  at t=48.64s  (backend=cpu)  ──────────────────────────
bytes_in_use                = 68.39 GiB
device.peak_bytes_in_use    = 0.00 B  (cumulative)
process RSS at peak          = 68.39 GiB
sum of jax.live_arrays()    = 464.71 MiB
n live arrays at peak        = 66
peak RSS across run          = 68.39 GiB  (this process)

# NOTE: CPU backend — device.memory_stats() is empty.
# bytes_in_use above is the per-sample process RSS (max of stats vs RSS).
# For multi-rank decomposition use /usr/bin/time -v on a per-rank wrapper.

Top JAX arrays at peak:
            size  dtype         shape
       50.62 MiB  complex128    (64, 432, 60, 2)
       50.62 MiB  complex128    (64, 432, 60, 2)
       50.62 MiB  complex128    (64, 432, 60, 2)
       50.62 MiB  complex128    (64, 432, 60, 2)
       50.62 MiB  complex128    (64, 432, 60, 2)
       50.62 MiB  complex128    (64, 60, 2, 432)
       50.62 MiB  complex128    (64, 60, 2, 432)
       50.62 MiB  complex128    (64, 60, 2, 432)
       31.01 MiB  complex128    (8, 432, 588)
       22.78 MiB  complex128    (8, 432, 432)

── Timeline (t, bytes_in_use, rss, n_live) ─────────────────────────
   t (s)    bytes_in_use             rss   n_live  live_bytes_sum
    0.04      308.58 MiB      308.58 MiB        0          0.00 B
    0.54      318.58 MiB      318.58 MiB        0          0.00 B
    1.04      324.61 MiB      324.61 MiB        0          0.00 B
    1.54      328.61 MiB      328.61 MiB        0          0.00 B
    2.04      330.61 MiB      330.61 MiB        0          0.00 B
    2.54      336.61 MiB      336.61 MiB        0          0.00 B
    3.04      340.61 MiB      340.61 MiB        0          0.00 B
    3.54      348.61 MiB      348.61 MiB        0          0.00 B
    4.06      382.09 MiB      382.09 MiB        2         24.00 B
    4.56      498.32 MiB      498.32 MiB       13       74.82 MiB
    5.06        8.25 GiB        8.25 GiB       13      125.45 MiB
    5.56       11.42 GiB       11.42 GiB       13      125.45 MiB
    6.06       13.99 GiB       13.99 GiB       13      125.45 MiB
    6.56       16.55 GiB       16.55 GiB       13      125.45 MiB
    7.06       17.65 GiB       17.65 GiB       13      125.45 MiB
    7.56       17.65 GiB       17.65 GiB       13      125.45 MiB
    8.06       17.65 GiB       17.65 GiB       13      125.45 MiB
    8.56       17.65 GiB       17.65 GiB       13      125.45 MiB
    9.06       17.65 GiB       17.65 GiB       13      125.45 MiB
    9.58      483.05 MiB      483.05 MiB       12       56.54 MiB
   10.08      563.74 MiB      563.74 MiB       43      107.17 MiB
   10.58        2.18 GiB        2.18 GiB       50      491.92 MiB
   11.08        3.03 GiB        3.03 GiB       50      491.92 MiB
   11.58        3.03 GiB        3.03 GiB       50      491.92 MiB
   12.08        1.09 GiB        1.09 GiB       55      538.91 MiB
