# rank=1 tag=arena1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.092
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144         44384      2          2048         17940
    0.50         45880        671068      9         19256        382284
    1.00         62256        719824      9         31536        423112
    1.50         72496        735864      9         37680        431292
    2.00         84784        747024      9         49968        442440
    2.50         90928        755632      9         54064        447680
    3.00         92976        759020      9         56112        451068
    3.50        101168        774460      9         60208        455404
    4.06        319832       2820948     24        188760       1180396
    4.57        327332       3326140     56        194212       1657112
    5.07        333476       3331564     56        200356       1662536
    5.57        341668       3355784     56        206500       1669932
    6.07        347812       3370748     56        210596       1675232
    6.57        403940       3467780     67        233956       1768948
    7.07        442060       3547960     69        265932       1849080
    7.59        470868       3571308     69        294740       1872436
    8.09        574984      11743820     81        392712      10044796
    8.59       5702344      11743820     81       5520072      10044796
    9.09       8407752      11743820     81       8225480      10044796
    9.59       8508104      11743820     81       8325832      10044796
   10.09       8508104      11743820     81       8325832      10044796
   10.60        576912       3800276     81        394640       2101252
   11.10        578960       3801780     81        396688       2102596
   11.60        987168       4593896     81        804896       2894600
   12.10        840316       4086632     81        658044       2387312
   12.60        795584       4044328     81        613312       2344928
   13.10        861096       4123200     81        676776       2423560
   13.60       1176800       4497480     81        992480       2798616
   14.10        912516       4214304     81        728196       2515392
   14.60       4740016      29621972     81       4555696      27922760
   15.10      11417004      29621972     81      11232684      27922760
   15.60      13794360      29629908     81      13610040      27930696
   16.10      14763064      29629908     81      14578744      27930696
   16.60      16500972      30506036     81      16316652      28806824
   17.10      18525100      30463016     81      18340780      28763804
   17.60      20547040      30419996     81      20362720      28720784
   18.10      21379000      30506036     81      21194680      28806824
   18.60      22284428      30506036     81      22100108      28806824
   19.10      24250696      30506036     81      24066376      28806824
   19.60      25649960      29612268     81      25465640      27913056
   20.11      25649960      29612268     81      25465640      27913056
   20.61      25649960      29612268     81      25465640      27913056
   21.11      25649960      29612268     81      25465640      27913056
   21.61      25649960      29612268     81      25465640      27913056
   22.11      25649960      29612268     81      25465640      27913056
   22.61      25649960      29612268     81      25465640      27913056
   23.11      25649960      29612268     81      25465640      27913056
   23.61      25649960      29612268     81      25465640      27913056
   24.11      25649960      29612268     81      25465640      27913056
   24.61      25649960      29612268     81      25465640      27913056
   25.11      25649960      29612268     81      25465640      27913056
   25.61      25649960      29612268     81      25465640      27913056
   26.11      25649960      29612268     81      25465640      27913056
   26.61      25649960      29612268     81      25465640      27913056
   27.11      25649960      29612268     81      25465640      27913056
   27.61      25649960      29612268     81      25465640      27913056
   28.11      25846568      29612268     81      25662248      27913056
   28.61      26310608      29612268     81      26126288      27913056
   29.11      26310608      29612268     81      26126288      27913056
   29.61       2346932       5646624     81       2162612       3947412
   30.11       2905424       6206744     81       2721104       4507452
   30.61       2802092       6253452     81       2617772       4554144
   31.11       1055764       4340616     81        871444       2641284
   31.61        869392       4154420     81        685072       2454944
   31.88        664140       3881812     78        479820       2182956
