# rank=1 tag=threads1 interval=0.5s n_samples=65
# PEAK_RSS_GB = 25.384
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144        109920      2          2048         18072
    0.50         47104        419968      2         18432         65808
    1.00         62892        475200      2         30124        109188
    1.50         71084        485892      2         36268        115944
    2.00         85420        502212      2         48556        128884
    2.50         87468        504268      2         50604        130940
    3.00         93612        509188      2         56748        135860
    3.50        113348       2164976     23         70340        407100
    4.00        334656       5784984     49        201536       1070692
    4.50        342848       5854432     49        209728       1111280
    5.00        351040       5872308     49        215872       1118792
    5.50        357184       5884564     49        219968       1123364
    6.00        365376       5902372     49        226112       1130004
    6.50        443556       6788248     60        271524       1240204
    7.00        688360       7537896     62        512232       1739176
    7.50        510532       7145544     62        328260       1346808
    8.00       4382188      15932244     74       4199916       9504520
    8.50       7120380      15932244     74       6938108       9504520
    9.00       8535548      15932244     74       8353276       9504520
    9.50       8535548      15932244     74       8353276       9504520
   10.00        553016       7936852     74        370744       1509128
   10.50        610776       7989868     74        428504       1567120
   11.01        635352       8013612     74        453080       1590780
   11.51       1391024       8889812     74       1208752       2399856
   12.01        899732       8375680     74        717460       1886988
   12.51        922260       8377568     74        739988       1912296
   13.01        933384       8410624     74        751112       1951544
   13.51       1334224       8855596     74       1151952       2421700
   14.01       1002280       8501856     74        820008       2068036
   14.51       6518524      33909524     74       6336252      27484088
   15.01      12639840      33909524     74      12457568      27484088
   15.51      14273956      33909524     74      14091684      27500232
   16.01      15107492      33909524     74      14925220      27500232
   16.51      17197068      34892564     74      17014796      28417092
   17.01      19208088      34827028     74      19025816      28359728
   17.51      21238656      34827028     74      21056384      28359728
   18.01      21619360      35810068     74      21437088      29275076
   18.51      22972968      35810068     74      22790696      29275076
   19.01      24994088      35810068     74      24811816      29275076
   19.51      25953916      35744532     74      25771644      29217712
   20.01      25953916      35744532     74      25771644      29217712
   20.51      25953916      35744532     74      25771644      29217712
   21.01      25953916      35744532     74      25771644      29217712
   21.52      25953916      35744532     74      25771644      29217712
   22.02      25953916      35744532     74      25771644      29217712
   22.52      25953916      35744532     74      25771644      29217712
   23.02      25953916      35744532     74      25771644      29217712
   23.52      25953916      35744532     74      25771644      29217712
   24.02      25953916      35744532     74      25771644      29217712
   24.52      25953916      35744532     74      25771644      29217712
   25.02      25953916      35744532     74      25771644      29217712
   25.52      25953916      35744532     74      25771644      29217712
   26.02      25953916      35744532     74      25771644      29217712
   26.52      25953916      35744532     74      25771644      29217712
   27.02      25953916      35744532     74      25771644      29217712
   27.52      26044028      35744532     74      25861756      29217712
   28.02      26617468      35744532     74      26435196      29217712
   28.52      26617468      35744532     74      26435196      29217712
   29.02      26617468      35744532     74      26435196      29217712
   29.52       3210240      12339008     74       3027968       5812108
   30.02       3108424      12385716     74       2926152       5858800
   30.52       3108424      12385716     74       2926152       5858800
   31.02       3237016      12432372     74       3054744       5905456
   31.52       1603488      10719292     74       1421216       4192420
   31.93        982776      10016104     71        800504       3497792
