# rank=3 tag=default interval=0.5s n_samples=66
# PEAK_RSS_GB = 25.370
#    t (s)      RSS (KB)     VmSize KB    thr    RssAnon KB     VmData KB
    0.00          6144        109920      2          2048         18072
    0.50         50008        736884      9         21336        382696
    1.00         62296        789424      9         29528        423408
    1.50         70488        801396      9         35672        431420
    2.00         80728        810944      9         45912        440968
    2.50         88920        821484      9         52056        448128
    3.00         90968        823532      9         54104        450176
    3.50        101208        839392      9         60248        455356
    4.01        292608       3346000     30        179968        931456
    4.51        333280       6022840     49        200160       1308540
    5.01        337636       6406348     56        204516       1663660
    5.51        343780       6413364     56        210660       1670176
    6.01        351972       6436504     56        216804       1676292
    6.51        358116       6452356     56        220900       1681428
    7.01        412388       7322832     67        244452       1771512
    7.71        422628       7329540     67        252644       1781104
    8.23        458180       7736112     70        286148       1871836
    8.73        500720       7768840     70        322544       1904556
    9.23       2197736      16485816     81       2017512      10058336
    9.73       6359384      16485816     81       6179160      10058336
   10.23       8534360      16485816     81       8354136      10058336
   10.73       8534360      16485816     81       8354136      10058336
   11.23       8534360      16485816     81       8354136      10058336
   11.73        607580       8543488     81        427356       2120408
   12.23        628060       8564864     81        447836       2141712
   12.74       1367924       9443408     81       1187700       2970056
   13.24        872060       8929244     81        691836       2455952
   13.74        904828       8931084     81        724604       2481964
   14.24        888460       8915224     81        708236       2472556
   14.74        928832       9003468     81        746560       2560800
   15.24        982712       9056084     81        800440       2619076
   15.74       8056524      34463128     81       7874252      28027888
   16.24      13628360      34463128     81      13446088      28045440
   16.74      14640072      34463128     81      14457800      28045440
   17.24      15807020      35446168     81      15624748      28946016
   17.74      17865304      35446168     81      17683032      28946016
   18.24      19891016      35446168     81      19708744      28946016
   18.74      21591828      36429208     81      21409556      29864112
   19.24      21912556      36429208     81      21730284      29864112
   19.74      23674336      36429208     81      23492064      29864112
   20.24      25707452      36429208     81      25525180      29864112
   20.74      25939096      36429208     81      25756824      29864112
   21.24      25939096      36429208     81      25756824      29864112
   21.74      25939096      36429208     81      25756824      29864112
   22.24      25939096      36429208     81      25756824      29864112
   22.74      25939096      36429208     81      25756824      29864112
   23.24      25939096      36429208     81      25756824      29864112
   23.74      25939096      36429208     81      25756824      29864112
   24.24      25939096      36429208     81      25756824      29864112
   24.74      25939096      36429208     81      25756824      29864112
   25.24      25939096      36429208     81      25756824      29864112
   25.74      25939096      36429208     81      25756824      29864112
   26.24      25939096      36429208     81      25756824      29864112
   26.75      25939096      36429208     81      25756824      29864112
   27.25      25939096      36429208     81      25756824      29864112
   27.75      25939096      36429208     81      25756824      29864112
   28.25      25939096      36429208     81      25756824      29864112
   28.75      25939096      36429208     81      25756824      29864112
   29.25      26602648      36429208     81      26420376      29864112
   29.75      26602648      36429208     81      26420376      29864112
   30.25      26602648      36429208     81      26420376      29864112
   30.75       3195420      13023684     81       3013148       6458508
   31.25       3081848      13070392     81       2899576       6505200
   31.75       1330136      11157484     81       1147864       4592292
   32.25       1144248      10971360     81        961976       4406132
   32.59        955472      10700780     78        773200       4136172
