# q=  0.50000000E-03  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.20308865E-06     -0.61760032E-06     -0.21630720E-10     -0.28897455E-07
       2     -0.40294025E-06     -0.61760032E-06     -0.43722934E-10     -0.28897455E-07
       3     -0.44744541E-06     -0.61760032E-06     -0.63566067E-10     -0.28897455E-07
       4     -0.49115240E-06     -0.61760032E-06     -0.83809659E-10     -0.28897455E-07
       5     -0.52517670E-06     -0.61760032E-06     -0.10754484E-09     -0.28897455E-07
       6     -0.56947431E-06     -0.61760032E-06     -0.12605417E-09     -0.28897455E-07
       7     -0.59177544E-06     -0.61760032E-06     -0.14159118E-09     -0.28897455E-07
       8     -0.61407707E-06     -0.61760032E-06     -0.15828168E-09     -0.28897455E-07
       9     -0.61474576E-06     -0.61760032E-06     -0.23730540E-09     -0.28897455E-07
      10     -0.61542735E-06     -0.61760032E-06     -0.31764667E-09     -0.28897455E-07
      11     -0.61609671E-06     -0.61760032E-06     -0.39743921E-09     -0.28897455E-07
      12     -0.61677861E-06     -0.61760032E-06     -0.47698551E-09     -0.28897455E-07
      13     -0.61690370E-06     -0.61760032E-06     -0.57001240E-09     -0.28897455E-07
      14     -0.61707271E-06     -0.61760032E-06     -0.68863990E-09     -0.28897455E-07
      15     -0.61719395E-06     -0.61760032E-06     -0.78320727E-09     -0.28897455E-07
      16     -0.61735886E-06     -0.61760032E-06     -0.90325360E-09     -0.28897455E-07
      17     -0.61739529E-06     -0.61760032E-06     -0.91819247E-09     -0.28897455E-07
      18     -0.61743239E-06     -0.61760032E-06     -0.93172310E-09     -0.28897455E-07
      19     -0.61744501E-06     -0.61760032E-06     -0.95359920E-09     -0.28897455E-07
      20     -0.61745829E-06     -0.61760032E-06     -0.97394253E-09     -0.28897455E-07
      21     -0.61747335E-06     -0.61760032E-06     -0.10592669E-08     -0.28897455E-07
      22     -0.61748832E-06     -0.61760032E-06     -0.11424532E-08     -0.28897455E-07
      23     -0.61748901E-06     -0.61760032E-06     -0.12520060E-08     -0.28897455E-07
      24     -0.61748983E-06     -0.61760032E-06     -0.13634111E-08     -0.28897455E-07
      25     -0.61749059E-06     -0.61760032E-06     -0.14602510E-08     -0.28897455E-07
      26     -0.61749125E-06     -0.61760032E-06     -0.15483798E-08     -0.28897455E-07
      27     -0.61749187E-06     -0.61760032E-06     -0.16247036E-08     -0.28897455E-07
      28     -0.61749247E-06     -0.61760032E-06     -0.17013080E-08     -0.28897455E-07
      29     -0.61749296E-06     -0.61760032E-06     -0.19928939E-08     -0.28897455E-07
      30     -0.61749347E-06     -0.61760032E-06     -0.22644529E-08     -0.28897455E-07
      31     -0.61749397E-06     -0.61760032E-06     -0.26939772E-08     -0.28897455E-07
      32     -0.61749445E-06     -0.61760032E-06     -0.31416350E-08     -0.28897455E-07
      33     -0.61749704E-06     -0.61760032E-06     -0.32035165E-08     -0.28897455E-07
      34     -0.61750115E-06     -0.61760032E-06     -0.32607019E-08     -0.28897455E-07
      35     -0.61750271E-06     -0.61760032E-06     -0.33721594E-08     -0.28897455E-07
      36     -0.61750560E-06     -0.61760032E-06     -0.34838657E-08     -0.28897455E-07
      37     -0.61750612E-06     -0.61760032E-06     -0.36938459E-08     -0.28897455E-07
      38     -0.61750665E-06     -0.61760032E-06     -0.39017067E-08     -0.28897455E-07
      39     -0.61750976E-06     -0.61760032E-06     -0.40075272E-08     -0.28897455E-07
      40     -0.61751299E-06     -0.61760032E-06     -0.41149931E-08     -0.28897455E-07
      41     -0.61751606E-06     -0.61760032E-06     -0.41757325E-08     -0.28897455E-07
      42     -0.61751947E-06     -0.61760032E-06     -0.42447764E-08     -0.28897455E-07
      43     -0.61752195E-06     -0.61760032E-06     -0.42788313E-08     -0.28897455E-07
      44     -0.61752511E-06     -0.61760032E-06     -0.43194769E-08     -0.28897455E-07
      45     -0.61752772E-06     -0.61760032E-06     -0.43847819E-08     -0.28897455E-07
      46     -0.61753047E-06     -0.61760032E-06     -0.44287484E-08     -0.28897455E-07
      47     -0.61753185E-06     -0.61760032E-06     -0.45981979E-08     -0.28897455E-07
      48     -0.61753294E-06     -0.61760032E-06     -0.47734000E-08     -0.28897455E-07
      49     -0.61753452E-06     -0.61760032E-06     -0.49153923E-08     -0.28897455E-07
      50     -0.61753621E-06     -0.61760032E-06     -0.50647295E-08     -0.28897455E-07
      51     -0.61753791E-06     -0.61760032E-06     -0.51455878E-08     -0.28897455E-07
      52     -0.61753970E-06     -0.61760032E-06     -0.52055884E-08     -0.28897455E-07
      53     -0.61754201E-06     -0.61760032E-06     -0.55111317E-08     -0.28897455E-07
      54     -0.61754403E-06     -0.61760032E-06     -0.57943875E-08     -0.28897455E-07
      55     -0.61754520E-06     -0.61760032E-06     -0.60756459E-08     -0.28897455E-07
      56     -0.61754613E-06     -0.61760032E-06     -0.63332326E-08     -0.28897455E-07
      57     -0.61754625E-06     -0.61760032E-06     -0.65037166E-08     -0.28897455E-07
      58     -0.61754687E-06     -0.61760032E-06     -0.66803573E-08     -0.28897455E-07
      59     -0.61754856E-06     -0.61760032E-06     -0.67289957E-08     -0.28897455E-07
      60     -0.61754983E-06     -0.61760032E-06     -0.67956055E-08     -0.28897455E-07
      61     -0.61755042E-06     -0.61760032E-06     -0.68492865E-08     -0.28897455E-07
      62     -0.61755114E-06     -0.61760032E-06     -0.69036443E-08     -0.28897455E-07
      63     -0.61755173E-06     -0.61760032E-06     -0.69682751E-08     -0.28897455E-07
      64     -0.61755232E-06     -0.61760032E-06     -0.70138774E-08     -0.28897455E-07
      65     -0.61755277E-06     -0.61760032E-06     -0.72354777E-08     -0.28897455E-07
      66     -0.61755317E-06     -0.61760032E-06     -0.74497150E-08     -0.28897455E-07
      67     -0.61755368E-06     -0.61760032E-06     -0.76603012E-08     -0.28897455E-07
      68     -0.61755421E-06     -0.61760032E-06     -0.78628948E-08     -0.28897455E-07
      69     -0.61755442E-06     -0.61760032E-06     -0.79022509E-08     -0.28897455E-07
      70     -0.61755462E-06     -0.61760032E-06     -0.79497104E-08     -0.28897455E-07
      71     -0.61755510E-06     -0.61760032E-06     -0.80692135E-08     -0.28897455E-07
      72     -0.61755556E-06     -0.61760032E-06     -0.81785505E-08     -0.28897455E-07
