# q=  0.50000000E-03  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.20308865E-06     -0.61719757E-06     -0.21630720E-10     -0.35695158E-02
       2     -0.40294025E-06     -0.61719757E-06     -0.43722934E-10     -0.35695158E-02
       3     -0.44744541E-06     -0.61719757E-06     -0.63566067E-10     -0.35695158E-02
       4     -0.49115240E-06     -0.61719757E-06     -0.83809659E-10     -0.35695158E-02
       5     -0.52517670E-06     -0.61719757E-06     -0.10754484E-09     -0.35695158E-02
       6     -0.56947431E-06     -0.61719757E-06     -0.12605417E-09     -0.35695158E-02
       7     -0.59177544E-06     -0.61719757E-06     -0.14159118E-09     -0.35695158E-02
       8     -0.61407707E-06     -0.61719757E-06     -0.15828168E-09     -0.35695158E-02
       9     -0.61503963E-06     -0.61719757E-06     -0.44612797E-09     -0.35695158E-02
      10     -0.61606019E-06     -0.61719757E-06     -0.69218913E-09     -0.35695158E-02
      11     -0.61707690E-06     -0.61719757E-06     -0.95406602E-09     -0.35695158E-02
      12     -0.61708682E-06     -0.61719757E-06     -0.10100931E-08     -0.35695158E-02
      13     -0.61709691E-06     -0.61719757E-06     -0.10663646E-08     -0.35695158E-02
      14     -0.61710692E-06     -0.61719757E-06     -0.11224995E-08     -0.35695158E-02
      15     -0.61710822E-06     -0.61719757E-06     -0.18050437E-08     -0.35695158E-02
      16     -0.61711055E-06     -0.61719757E-06     -0.24871518E-08     -0.35695158E-02
      17     -0.61711231E-06     -0.61719757E-06     -0.30870175E-08     -0.35695158E-02
      18     -0.61712118E-06     -0.61719757E-06     -0.34764569E-08     -0.35695158E-02
      19     -0.61713072E-06     -0.61719757E-06     -0.38658199E-08     -0.35695158E-02
      20     -0.61713787E-06     -0.61719757E-06     -0.43101049E-08     -0.35695158E-02
      21     -0.61714252E-06     -0.61719757E-06     -0.45698873E-08     -0.35695158E-02
      22     -0.61714783E-06     -0.61719757E-06     -0.48424945E-08     -0.35695158E-02
      23     -0.61715343E-06     -0.61719757E-06     -0.50897980E-08     -0.35695158E-02
      24     -0.61715850E-06     -0.61719757E-06     -0.56428202E-08     -0.35695158E-02
      25     -0.61716259E-06     -0.61719757E-06     -0.62529635E-08     -0.35695158E-02
      26     -0.61716732E-06     -0.61719757E-06     -0.69296053E-08     -0.35695158E-02
      27     -0.61716872E-06     -0.61719757E-06     -0.73270032E-08     -0.35695158E-02
      28     -0.61717019E-06     -0.61719757E-06     -0.76744358E-08     -0.35695158E-02
