
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -5.697005295   -5.697005295  -16.544138878   12.309668067   -9.292980112  -13.527450923    5.102678584   -8.424772339   -8.424772339   -8.897560580  -13.132031391   -8.029352807   -8.029352807    1.000000000
   2   -5.697005295   -5.697005295  -16.544138878   12.309668067   -9.292980112  -13.527450923    5.102678584   -8.424772339   -8.424772339   -8.897560580  -13.132031391   -8.029352807   -8.029352807    1.000000000
   3    6.246361473    6.246361473  -13.713695353    9.650938128   -9.834649093  -13.897406318   17.950204008    4.052797690    4.052797690   -8.582202050  -12.644959275    5.305244733    5.305244733    1.000000000
   4    6.246361473    6.246361473  -13.713695353    9.650938128   -9.834649093  -13.897406318   17.950204008    4.052797690    4.052797690   -8.582202050  -12.644959275    5.305244733    5.305244733    1.000000000
   5    6.294141835    6.294141835  -13.700813739    9.641095693   -9.831644498  -13.891362544   17.993106916    4.101744372    4.101744372   -8.584857701  -12.644575746    5.348531170    5.348531170    1.000000000
   6    6.294141835    6.294141835  -13.700813739    9.641095693   -9.831644498  -13.891362544   17.993106916    4.101744372    4.101744372   -8.584857701  -12.644575746    5.348531170    5.348531170    1.000000000
   7    6.294141835    6.294141835  -13.700813739    9.641095693   -9.831644498  -13.891362544   17.993106916    4.101744372    4.101744372   -8.584857701  -12.644575746    5.348531170    5.348531170    1.000000000
   8    6.294141835    6.294141835  -13.700813739    9.641095693   -9.831644498  -13.891362544   17.993106916    4.101744372    4.101744372   -8.584857701  -12.644575746    5.348531170    5.348531170    1.000000000
   9    8.792480496    8.792480496   -4.923681359    2.930671896   -9.033879057  -11.026888519   19.123349945    8.096461426    8.096461426   -7.855090861   -9.848100324    9.275249621    9.275249621    1.000000000
  10    8.792480496    8.792480496   -4.923681359    2.930671896   -9.033879057  -11.026888519   19.123349945    8.096461426    8.096461426   -7.855090861   -9.848100324    9.275249621    9.275249621    1.000000000
  11    8.827245701    8.827245701   -4.911833782    2.921708956   -9.029154612  -11.019279437   19.150476097    8.131196660    8.131196660   -7.879086927   -9.869211753    9.281264344    9.281264344    1.000000000
  12    8.827245701    8.827245701   -4.911833782    2.921708956   -9.029154612  -11.019279437   19.150476097    8.131196660    8.131196660   -7.879086927   -9.869211753    9.281264344    9.281264344    1.000000000
  13    8.827245701    8.827245701   -4.911833782    2.921708956   -9.029154612  -11.019279437   19.150476097    8.131196660    8.131196660   -7.879086927   -9.869211753    9.281264344    9.281264344    1.000000000
  14    8.827245701    8.827245701   -4.911833782    2.921708956   -9.029154612  -11.019279437   19.150476097    8.131196660    8.131196660   -7.879086927   -9.869211753    9.281264344    9.281264344    1.000000000
  15    9.625622065    9.625622065   -5.000732921    2.815089071   -9.888814365  -12.074458215   21.353472584    9.279014369    9.279014369   -8.475992593  -10.661636443   10.691836141   10.691836141    1.000000000
  16    9.625622065    9.625622065   -5.000732921    2.815089071   -9.888814365  -12.074458215   21.353472584    9.279014369    9.279014369   -8.475992593  -10.661636443   10.691836141   10.691836141    1.000000000
 
       k = -0.000000 -0.000000  0.500000 ik =   2 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363046818   -3.363046818  -16.065747568   11.838527887   -9.581107144  -13.808326824    7.884640040   -5.923686784   -5.923686784   -9.011799853  -13.239019534   -5.354379494   -5.354379494    1.000000000
   2   -3.363046818   -3.363046818  -16.065747568   11.838527887   -9.581107144  -13.808326824    7.884640040   -5.923686784   -5.923686784   -9.011799853  -13.239019534   -5.354379494   -5.354379494    1.000000000
   3   -0.707274858   -0.707274858  -13.867984732   10.203513867   -9.092127842  -12.756598706    9.791021862   -2.965576844   -2.965576844   -8.456012759  -12.120483624   -2.329461762   -2.329461762    1.000000000
   4   -0.707274858   -0.707274858  -13.867984732   10.203513867   -9.092127842  -12.756598706    9.791021862   -2.965576844   -2.965576844   -8.456012759  -12.120483624   -2.329461762   -2.329461762    1.000000000
   5    5.056658076    5.056658076  -13.538588446    9.651957460   -9.668833154  -13.555464139   16.470572830    2.915108691    2.915108691   -8.555586758  -12.442217743    4.028355087    4.028355087    1.000000000
   6    5.056658076    5.056658076  -13.538588446    9.651957460   -9.668833154  -13.555464139   16.470572830    2.915108691    2.915108691   -8.555586758  -12.442217743    4.028355087    4.028355087    1.000000000
   7    5.088288518    5.088288518  -13.527872843    9.643915451   -9.666810755  -13.550768147   16.498851467    2.948083319    2.948083319   -8.566205093  -12.450162485    4.048688981    4.048688981    1.000000000
   8    5.088288518    5.088288518  -13.527872843    9.643915451   -9.666810755  -13.550768147   16.498851467    2.948083319    2.948083319   -8.566205093  -12.450162485    4.048688981    4.048688981    1.000000000
   9    7.800189171    7.800189171   -5.037736767    2.910830256   -9.127810518  -11.254717028   18.352337178    7.097620150    7.097620150   -7.990106307  -10.117012817    8.235324361    8.235324361    1.000000000
  10    7.800189171    7.800189171   -5.037736767    2.910830256   -9.127810518  -11.254717028   18.352337178    7.097620150    7.097620150   -7.990106307  -10.117012817    8.235324361    8.235324361    1.000000000
  11    9.587046911    9.587046911   -4.431172330    2.580357304   -8.728894890  -10.579709917   19.474283811    8.894573894    8.894573894   -7.568531180   -9.419346207   10.054937604   10.054937604    1.000000000
  12    9.587046911    9.587046911   -4.431172330    2.580357304   -8.728894890  -10.579709917   19.474283811    8.894573894    8.894573894   -7.568531180   -9.419346207   10.054937604   10.054937604    1.000000000
  13    9.601404866    9.601404866   -4.426382890    2.576904478   -8.725066831  -10.574545242   19.482741457    8.908196215    8.908196215   -7.554911295   -9.404389706   10.078351751   10.078351751    1.000000000
  14    9.601404866    9.601404866   -4.426382890    2.576904478   -8.725066831  -10.574545242   19.482741457    8.908196215    8.908196215   -7.554911295   -9.404389706   10.078351751   10.078351751    1.000000000
  15   13.996111838   13.996111838   -2.020345622    0.783364763   -7.362033617   -8.599014477   21.840256174   13.241241697   13.241241697   -6.386231255   -7.623212115   14.217044059   14.217044059    1.000000000
  16   13.996111838   13.996111838   -2.020345622    0.783364763   -7.362033617   -8.599014477   21.840256174   13.241241697   13.241241697   -6.386231255   -7.623212115   14.217044059   14.217044059    1.000000000
 
       k =  0.000000  0.500000 -0.000000 ik =   3 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363046818   -3.363046818  -16.065747567   11.838527855   -9.581107445  -13.808327158    7.884640040   -5.923687118   -5.923687118   -9.011800088  -13.239019801   -5.354379761   -5.354379761    1.000000000
   2   -3.363046818   -3.363046818  -16.065747567   11.838527855   -9.581107445  -13.808327158    7.884640040   -5.923687118   -5.923687118   -9.011800088  -13.239019801   -5.354379761   -5.354379761    1.000000000
   3   -0.707274858   -0.707274858  -13.867984732   10.203513471   -9.092127246  -12.756598507    9.791021862   -2.965576645   -2.965576645   -8.456012232  -12.120483493   -2.329461631   -2.329461631    1.000000000
   4   -0.707274858   -0.707274858  -13.867984732   10.203513471   -9.092127246  -12.756598507    9.791021862   -2.965576645   -2.965576645   -8.456012232  -12.120483493   -2.329461631   -2.329461631    1.000000000
   5    5.056658076    5.056658076  -13.538588446    9.651957260   -9.668833351  -13.555464537   16.470572830    2.915108293    2.915108293   -8.555588161  -12.442219347    4.028353483    4.028353483    1.000000000
   6    5.056658076    5.056658076  -13.538588446    9.651957260   -9.668833351  -13.555464537   16.470572830    2.915108293    2.915108293   -8.555588161  -12.442219347    4.028353483    4.028353483    1.000000000
   7    5.088288518    5.088288518  -13.527872843    9.643915250   -9.666810952  -13.550768545   16.498851467    2.948082922    2.948082922   -8.566204387  -12.450161980    4.048689487    4.048689487    1.000000000
   8    5.088288518    5.088288518  -13.527872843    9.643915250   -9.666810952  -13.550768545   16.498851467    2.948082922    2.948082922   -8.566204387  -12.450161980    4.048689487    4.048689487    1.000000000
   9    7.800189171    7.800189171   -5.037736767    2.910829808   -9.127809761  -11.254716720   18.352337178    7.097620458    7.097620458   -7.990105634  -10.117012592    8.235324586    8.235324586    1.000000000
