# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07749573E+01  -9.98493610E+00   7.90021158E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.08944670E+00   1.05842719E+00  -3.10195076E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.45355264E-01  -2.06250332E-01   3.91049320E-02
      2  -4.90812895E-01  -4.12462263E-01   7.83506319E-02
      3  -7.67406168E-01  -5.90715704E-01   1.76690463E-01
      4  -1.04387389E+00  -7.69031442E-01   2.74842448E-01
      5  -1.95020019E+00  -1.00578960E+00   9.44410592E-01
      6  -2.85662065E+00  -1.24269614E+00   1.61392451E+00
      7  -3.90242379E+00  -1.38700036E+00   2.51542343E+00
      8  -4.94813196E+00  -1.53112193E+00   3.41701003E+00
      9  -5.06911299E+00  -2.95633253E+00   2.11278046E+00
     10  -5.19003720E+00  -4.38167545E+00   8.08361748E-01
     11  -5.27740059E+00  -4.65600188E+00   6.21398711E-01
     12  -5.36481953E+00  -4.93019552E+00   4.34624016E-01
     13  -5.46013921E+00  -5.05478247E+00   4.05356741E-01
     14  -5.55561155E+00  -5.17940771E+00   3.76203844E-01
     15  -5.62753922E+00  -5.29619387E+00   3.31345353E-01
     16  -5.69962025E+00  -5.41302606E+00   2.86594188E-01
     17  -5.85148358E+00  -5.65658863E+00   1.94894950E-01
     18  -6.00331841E+00  -5.90014601E+00   1.03172398E-01
     19  -6.17632965E+00  -5.96413557E+00   2.12194076E-01
     20  -6.34932571E+00  -6.02812163E+00   3.21204079E-01
     21  -6.42407125E+00  -6.17595537E+00   2.48115881E-01
     22  -6.49882396E+00  -6.32377056E+00   1.75053401E-01
     23  -6.66167050E+00  -6.40095171E+00   2.60718796E-01
     24  -6.82451419E+00  -6.47813272E+00   3.46381472E-01
     25  -6.97991630E+00  -6.52417067E+00   4.55745630E-01
     26  -7.13537746E+00  -6.57017452E+00   5.65202935E-01
     27  -7.25752936E+00  -6.64302430E+00   6.14505066E-01
     28  -7.37972724E+00  -6.71591793E+00   6.63809304E-01
     29  -7.46073190E+00  -6.78080508E+00   6.79926817E-01
     30  -7.54183946E+00  -6.84567991E+00   6.96159554E-01
     31  -7.62159906E+00  -6.92397915E+00   6.97619914E-01
     32  -7.70125550E+00  -7.00229085E+00   6.98964652E-01
     33  -7.73540349E+00  -7.04675699E+00   6.88646499E-01
     34  -7.76955038E+00  -7.09120457E+00   6.78345810E-01
     35  -7.80719349E+00  -7.13665753E+00   6.70535958E-01
     36  -7.84483495E+00  -7.18219177E+00   6.62643179E-01
     37  -7.89487698E+00  -7.25220980E+00   6.42667186E-01
     38  -7.94492832E+00  -7.32226689E+00   6.22661429E-01
     39  -7.98768818E+00  -7.41041708E+00   5.77271098E-01
     40  -8.03043864E+00  -7.49852929E+00   5.31909348E-01
     41  -8.05123627E+00  -7.54867099E+00   5.02565272E-01
     42  -8.07203589E+00  -7.59877426E+00   4.73261627E-01
     43  -8.11128911E+00  -7.64493548E+00   4.66353631E-01
     44  -8.15054445E+00  -7.69105836E+00   4.59486085E-01
     45  -8.21898214E+00  -7.73367167E+00   4.85310465E-01
     46  -8.28741038E+00  -7.77627385E+00   5.11136538E-01
     47  -8.35384507E+00  -7.81154945E+00   5.42295620E-01
     48  -8.41955960E+00  -7.84845259E+00   5.71107010E-01
     49  -8.51335219E+00  -7.88004095E+00   6.33311247E-01
     50  -8.60829991E+00  -7.90895599E+00   6.99343915E-01
     51  -8.65621416E+00  -7.93608649E+00   7.20127672E-01
     52  -8.70429999E+00  -7.96266961E+00   7.41630386E-01
     53  -8.75288175E+00  -7.99238651E+00   7.60495243E-01
     54  -8.80146176E+00  -8.02209712E+00   7.79364636E-01
     55  -8.81747590E+00  -8.05279452E+00   7.64681379E-01
     56  -8.83349779E+00  -8.08349266E+00   7.50005134E-01
     57  -8.85594708E+00  -8.10284858E+00   7.53098496E-01
