# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.00216810E+01  -9.59085502E+00   4.30826025E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.07074777E+00   1.30840210E+00   2.37654336E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.43071212E-01  -2.05415867E-01   3.76553451E-02
      2  -4.86246384E-01  -4.10793044E-01   7.54533393E-02
      3  -7.60216121E-01  -5.87823574E-01   1.72392547E-01
      4  -1.03405821E+00  -7.64916759E-01   2.69141453E-01
      5  -1.93687008E+00  -1.00015364E+00   9.36716442E-01
      6  -2.83977645E+00  -1.23553854E+00   1.60423791E+00
      7  -3.88251063E+00  -1.37800248E+00   2.50450816E+00
      8  -4.92514952E+00  -1.52028258E+00   3.40486694E+00
      9  -5.04486446E+00  -2.94391417E+00   2.10095030E+00
     10  -5.16452182E+00  -4.36767904E+00   7.96842782E-01
     11  -5.25067546E+00  -4.64006983E+00   6.10605629E-01
     12  -5.33688544E+00  -4.91232688E+00   4.24558556E-01
     13  -5.43072255E+00  -5.03519684E+00   3.95525708E-01
     14  -5.52471455E+00  -5.15810510E+00   3.66609453E-01
     15  -5.59550567E+00  -5.27359415E+00   3.21911517E-01
     16  -5.66645237E+00  -5.38912923E+00   2.77323138E-01
     17  -5.81621430E+00  -5.63123482E+00   1.84979477E-01
     18  -5.96594682E+00  -5.87333535E+00   9.26114642E-02
     19  -6.13688985E+00  -5.93554267E+00   2.01347189E-01
     20  -6.30781731E+00  -5.99774656E+00   3.10070754E-01
     21  -6.38076733E+00  -6.14432475E+00   2.36442571E-01
     22  -6.45372486E+00  -6.29088484E+00   1.62840017E-01
     23  -6.61509818E+00  -6.36628815E+00   2.48810034E-01
     24  -6.77646878E+00  -6.44169145E+00   3.34777329E-01
     25  -6.93032819E+00  -6.48621938E+00   4.44108801E-01
     26  -7.08424599E+00  -6.53071118E+00   5.53534804E-01
     27  -7.20495360E+00  -6.60199593E+00   6.02957667E-01
     28  -7.32570681E+00  -6.67332559E+00   6.52381223E-01
     29  -7.40546104E+00  -6.73705624E+00   6.68404795E-01
     30  -7.48531922E+00  -6.80077407E+00   6.84545149E-01
     31  -7.56339755E+00  -6.87803851E+00   6.85359043E-01
     32  -7.64137165E+00  -6.95531590E+00   6.86055750E-01
     33  -7.67451859E+00  -6.99877848E+00   6.75740104E-01
     34  -7.70766443E+00  -7.04222222E+00   6.65442208E-01
     35  -7.74434623E+00  -7.08643854E+00   6.57907682E-01
     36  -7.78102634E+00  -7.13073735E+00   6.50288993E-01
     37  -7.82986070E+00  -7.19926012E+00   6.30600580E-01
     38  -7.87870445E+00  -7.26782212E+00   6.10882338E-01
     39  -7.92018555E+00  -7.35474436E+00   5.65441190E-01
     40  -7.96165713E+00  -7.44162849E+00   5.20028646E-01
     41  -7.98140782E+00  -7.49065111E+00   4.90756703E-01
     42  -8.00116089E+00  -7.53963566E+00   4.61525235E-01
     43  -8.03862479E+00  -7.58464195E+00   4.53982838E-01
     44  -8.07609119E+00  -7.62961026E+00   4.46480937E-01
     45  -8.14250835E+00  -7.67118477E+00   4.71323582E-01
     46  -8.20891627E+00  -7.71274851E+00   4.96167754E-01
     47  -8.27360991E+00  -7.74670902E+00   5.26900890E-01
     48  -8.33757514E+00  -7.78227262E+00   5.55302520E-01
     49  -8.42970130E+00  -7.81259396E+00   6.17107342E-01
     50  -8.52299504E+00  -7.84028247E+00   6.82712574E-01
     51  -8.56980056E+00  -7.86613815E+00   7.03662408E-01
     52  -8.61677748E+00  -7.89145472E+00   7.25322760E-01
     53  -8.66375381E+00  -7.91981506E+00   7.43938745E-01
     54  -8.71072838E+00  -7.94816913E+00   7.62559249E-01
     55  -8.72587893E+00  -7.97777722E+00   7.48101715E-01
     56  -8.74103702E+00  -8.00738585E+00   7.33651173E-01
     57  -8.76247913E+00  -8.02567592E+00   7.36803215E-01
     58  -8.78392337E+00  -8.04397736E+00   7.39946016E-01
     59  -8.80184574E+00  -8.06467503E+00   7.37170711E-01
     60  -8.81977629E+00  -8.08536687E+00   7.34409426E-01
     61  -8.83353992E+00  -8.12060047E+00   7.12939451E-01
     62  -8.84731253E+00  -8.15583336E+00   6.91479168E-01
     63  -8.86485790E+00  -8.17425038E+00   6.90607516E-01
     64  -8.88240579E+00  -8.19266706E+00   6.89738729E-01
     65  -8.89690056E+00  -8.21860343E+00   6.78297127E-01
     66  -8.91141462E+00  -8.24452296E+00   6.66891654E-01
     67  -8.93117258E+00  -8.26347473E+00   6.67697846E-01
     68  -8.95093328E+00  -8.28245292E+00   6.68480362E-01
# k =  -0.000000  -0.000000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.99596706E+00  -9.82447702E+00   1.71490038E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.06057829E+00   1.42527138E+00   3.64693091E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.99554009E-01  -2.56058636E-01   4.34953728E-02
      2  -6.04918343E-01  -5.04161413E-01   1.00756930E-01
      3  -8.80253987E-01  -7.50599473E-01   1.29654514E-01
      4  -1.14787485E+00  -1.00760583E+00   1.40269011E-01
      5  -1.51522194E+00  -1.10559479E+00   4.09627147E-01
      6  -1.87820600E+00  -1.21089135E+00   6.67314658E-01
      7  -3.38127052E+00  -1.36633789E+00   2.01493263E+00
      8  -4.92663698E+00  -1.50666968E+00   3.41996730E+00
      9  -5.03112546E+00  -2.97962367E+00   2.05150179E+00
