# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.09639556E+01  -1.00669293E+01   8.97026252E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.31116513E-02   6.76577948E-02  -2.54538565E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.41128963E-01  -2.05762914E-01   3.53660494E-02
      2  -4.84416528E-01  -4.11492733E-01   7.29237952E-02
      3  -7.58960816E-01  -5.88850591E-01   1.70110225E-01
      4  -1.03277131E+00  -7.68018118E-01   2.64753197E-01
      5  -1.93792194E+00  -1.00478195E+00   9.33139995E-01
      6  -2.84281199E+00  -1.24050850E+00   1.60230349E+00
      7  -3.88381174E+00  -1.38491430E+00   2.49889744E+00
      8  -4.92663348E+00  -1.52823358E+00   3.39839990E+00
      9  -5.04813422E+00  -2.95332954E+00   2.09480468E+00
     10  -5.16950720E+00  -4.37746252E+00   7.92044680E-01
     11  -5.25686629E+00  -4.64906059E+00   6.07805707E-01
     12  -5.34431710E+00  -4.92082995E+00   4.23487150E-01
     13  -5.44013590E+00  -5.04664845E+00   3.93487450E-01
     14  -5.53590985E+00  -5.17183172E+00   3.64078122E-01
     15  -5.60870399E+00  -5.29060197E+00   3.18102017E-01
     16  -5.68082286E+00  -5.40859483E+00   2.72228028E-01
     17  -6.49172762E+00  -6.03465646E+00   4.57071159E-01
     18  -7.32227370E+00  -6.69671649E+00   6.25557208E-01
     19  -7.40398429E+00  -6.76169750E+00   6.42286797E-01
     20  -7.48558136E+00  -6.82651972E+00   6.59061635E-01
     21  -7.74302036E+00  -7.21025748E+00   5.32762884E-01
     22  -7.98382512E+00  -7.55900191E+00   4.24823213E-01
     23  -8.27550964E+00  -7.75485993E+00   5.20649706E-01
     24  -8.56145825E+00  -7.97743717E+00   5.84021080E-01
     25  -8.70095202E+00  -8.09086865E+00   6.10083368E-01
     26  -8.84126274E+00  -8.20176320E+00   6.39499543E-01
     27  -8.93260388E+00  -8.32327701E+00   6.09326872E-01
     28  -9.03020790E+00  -8.45549448E+00   5.74713425E-01
     29  -9.13353912E+00  -8.56107231E+00   5.72466807E-01
     30  -9.23404265E+00  -8.66226927E+00   5.71773381E-01
     31  -9.33365489E+00  -8.74058881E+00   5.93066082E-01
     32  -9.43127784E+00  -8.81735000E+00   6.13927840E-01
     33  -9.52628364E+00  -8.88909851E+00   6.37185122E-01
     34  -9.62255906E+00  -8.95385909E+00   6.68699969E-01
     35  -9.69686544E+00  -9.03528646E+00   6.61578980E-01
     36  -9.76865278E+00  -9.11885527E+00   6.49797515E-01
     37  -9.79529536E+00  -9.14321829E+00   6.52077073E-01
     38  -9.82395993E+00  -9.16776683E+00   6.56193098E-01
     39  -9.87149965E+00  -9.21161251E+00   6.59887135E-01
     40  -9.91962582E+00  -9.24944539E+00   6.70180428E-01
     41  -9.97243108E+00  -9.29052151E+00   6.81909576E-01
     42  -1.00278669E+01  -9.33054472E+00   6.97322221E-01
     43  -1.00859189E+01  -9.36960890E+00   7.16310005E-01
     44  -1.01477503E+01  -9.41087158E+00   7.36878726E-01
     45  -1.01820083E+01  -9.44267108E+00   7.39337237E-01
     46  -1.02163458E+01  -9.47460127E+00   7.41744527E-01
     47  -1.02453548E+01  -9.50012307E+00   7.45231756E-01
     48  -1.02713608E+01  -9.52464167E+00   7.46719122E-01
     49  -1.03107585E+01  -9.56220252E+00   7.48555967E-01
     50  -1.03496216E+01  -9.59494255E+00   7.54679090E-01
     51  -1.03734616E+01  -9.61219361E+00   7.61268020E-01
     52  -1.03957695E+01  -9.62890036E+00   7.66869142E-01
     53  -1.04106462E+01  -9.64203634E+00   7.68609867E-01
     54  -1.04280712E+01  -9.65651537E+00   7.71555816E-01
     55  -1.04510947E+01  -9.67492890E+00   7.76165833E-01
     56  -1.04738835E+01  -9.69160599E+00   7.82277501E-01
     57  -1.04949133E+01  -9.70727852E+00   7.87634749E-01
     58  -1.05158084E+01  -9.72326376E+00   7.92544628E-01
     59  -1.05291912E+01  -9.73447144E+00   7.94719775E-01
     60  -1.05419358E+01  -9.74548651E+00   7.96449285E-01
     61  -1.05591097E+01  -9.75846960E+00   8.00640103E-01
     62  -1.05759524E+01  -9.77123651E+00   8.04715861E-01
     63  -1.05915363E+01  -9.78425787E+00   8.07278400E-01
     64  -1.06068925E+01  -9.79728762E+00   8.09604918E-01
     65  -1.06129319E+01  -9.80149916E+00   8.11432756E-01
     66  -1.06190648E+01  -9.80553910E+00   8.13525731E-01
     67  -1.06267775E+01  -9.81193130E+00   8.14846248E-01
     68  -1.06352538E+01  -9.81825988E+00   8.16993961E-01
     69  -1.06445854E+01  -9.82658366E+00   8.18001696E-01
     70  -1.06545850E+01  -9.83461384E+00   8.19971113E-01
     71  -1.06653701E+01  -9.84214163E+00   8.23228491E-01
     72  -1.06761885E+01  -9.84982240E+00   8.26366062E-01
     73  -1.06857523E+01  -9.85841534E+00   8.27336923E-01
     74  -1.06956100E+01  -9.86675802E+00   8.28851980E-01
     75  -1.07011294E+01  -9.87114446E+00   8.29984966E-01
     76  -1.07068777E+01  -9.87581283E+00   8.31064855E-01
     77  -1.07137772E+01  -9.88105854E+00   8.32718681E-01
     78  -1.07206761E+01  -9.88669735E+00   8.33978763E-01
     79  -1.07276515E+01  -9.89190827E+00   8.35743240E-01
     80  -1.07346917E+01  -9.89719212E+00   8.37499597E-01
     81  -1.07381803E+01  -9.89968206E+00   8.38498201E-01
     82  -1.07414663E+01  -9.90211505E+00   8.39351300E-01
     83  -1.07462794E+01  -9.90581399E+00   8.40465405E-01
     84  -1.07508971E+01  -9.90930828E+00   8.41588777E-01
     85  -1.07567429E+01  -9.91366295E+00   8.43079923E-01
     86  -1.07623702E+01  -9.91785659E+00   8.44513602E-01
     87  -1.07668119E+01  -9.92120874E+00   8.45603160E-01
     88  -1.07710514E+01  -9.92466662E+00   8.46384733E-01
     89  -1.07745226E+01  -9.92751024E+00   8.47012351E-01
     90  -1.07779456E+01  -9.93028801E+00   8.47657544E-01
     91  -1.07813405E+01  -9.93281578E+00   8.48524712E-01
     92  -1.07847522E+01  -9.93533240E+00   8.49419802E-01
     93  -1.07865831E+01  -9.93690534E+00   8.49677733E-01
     94  -1.07884037E+01  -9.93847424E+00   8.49929428E-01
     95  -1.07916651E+01  -9.94070816E+00   8.50956934E-01
     96  -1.07948428E+01  -9.94295303E+00   8.51889742E-01
     97  -1.07990768E+01  -9.94594855E+00   8.53128263E-01
     98  -1.08034035E+01  -9.94905162E+00   8.54351924E-01
     99  -1.08061052E+01  -9.95140481E+00   8.54700434E-01
