# q=  0.50000000E-03  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.20308865E-06     -0.61718064E-06     -0.21630720E-10     -0.32116066E-06
       2     -0.40294025E-06     -0.61718064E-06     -0.43722934E-10     -0.32116066E-06
       3     -0.44744541E-06     -0.61718064E-06     -0.63566067E-10     -0.32116066E-06
       4     -0.49115240E-06     -0.61718064E-06     -0.83809659E-10     -0.32116066E-06
       5     -0.52517670E-06     -0.61718064E-06     -0.10754484E-09     -0.32116066E-06
       6     -0.56947431E-06     -0.61718064E-06     -0.12605417E-09     -0.32116066E-06
       7     -0.59177544E-06     -0.61718064E-06     -0.14159118E-09     -0.32116066E-06
       8     -0.61407707E-06     -0.61718064E-06     -0.15828168E-09     -0.32116066E-06
       9     -0.61552092E-06     -0.61718064E-06     -0.59005111E-09     -0.32116066E-06
      10     -0.61705176E-06     -0.61718064E-06     -0.95914285E-09     -0.32116066E-06
      11     -0.61706690E-06     -0.61718064E-06     -0.10436317E-08     -0.32116066E-06
      12     -0.61708185E-06     -0.61718064E-06     -0.11278146E-08     -0.32116066E-06
      13     -0.61708477E-06     -0.61718064E-06     -0.22486660E-08     -0.32116066E-06
      14     -0.61708884E-06     -0.61718064E-06     -0.29626823E-08     -0.32116066E-06
      15     -0.61710677E-06     -0.61718064E-06     -0.35245910E-08     -0.32116066E-06
      16     -0.61711530E-06     -0.61718064E-06     -0.39582410E-08     -0.32116066E-06
      17     -0.61712352E-06     -0.61718064E-06     -0.43727744E-08     -0.32116066E-06
      18     -0.61713200E-06     -0.61718064E-06     -0.47826024E-08     -0.32116066E-06
      19     -0.61713828E-06     -0.61718064E-06     -0.55184954E-08     -0.32116066E-06
      20     -0.61714796E-06     -0.61718064E-06     -0.63179913E-08     -0.32116066E-06
      21     -0.61715029E-06     -0.61718064E-06     -0.70587285E-08     -0.32116066E-06
      22     -0.61715249E-06     -0.61718064E-06     -0.76605161E-08     -0.32116066E-06
      23     -0.61715540E-06     -0.61718064E-06     -0.86149971E-08     -0.32116066E-06
      24     -0.61715867E-06     -0.61718064E-06     -0.95469440E-08     -0.32116066E-06
      25     -0.61716147E-06     -0.61718064E-06     -0.10910151E-07     -0.32116066E-06
      26     -0.61716382E-06     -0.61718064E-06     -0.12105444E-07     -0.32116066E-06
      27     -0.61716626E-06     -0.61718064E-06     -0.13141698E-07     -0.32116066E-06
      28     -0.61716811E-06     -0.61718064E-06     -0.14057808E-07     -0.32116066E-06
      29     -0.61716852E-06     -0.61718064E-06     -0.14471960E-07     -0.32116066E-06
      30     -0.61716894E-06     -0.61718064E-06     -0.14889637E-07     -0.32116066E-06
      31     -0.61716989E-06     -0.61718064E-06     -0.16140640E-07     -0.32116066E-06
      32     -0.61717075E-06     -0.61718064E-06     -0.17472006E-07     -0.32116066E-06
      33     -0.61717139E-06     -0.61718064E-06     -0.19272155E-07     -0.32116066E-06
      34     -0.61717200E-06     -0.61718064E-06     -0.20722658E-07     -0.32116066E-06
