# idx_k idx_b kx ky kz s energy
   0    0  0.00000000  0.00000000  0.00000000  0.00000000 -5.36619063
   0    1  0.00000000  0.00000000  0.00000000  0.00000000 -5.36619063
   0    2  0.00000000  0.00000000  0.00000000  0.00000000 -3.18445884
   0    3  0.00000000  0.00000000  0.00000000  0.00000000 -3.18445884
   0    4  0.00000000  0.00000000  0.00000000  0.00000000 -2.98309528
   0    5  0.00000000  0.00000000  0.00000000  0.00000000 -2.98309528
   0    6  0.00000000  0.00000000  0.00000000  0.00000000 -2.96769558
   0    7  0.00000000  0.00000000  0.00000000  0.00000000 -2.96769558
   0    8  0.00000000  0.00000000  0.00000000  0.00000000 -1.25122821
   0    9  0.00000000  0.00000000  0.00000000  0.00000000 -1.25122821
   0   10  0.00000000  0.00000000  0.00000000  0.00000000 -1.12337471
   0   11  0.00000000  0.00000000  0.00000000  0.00000000 -1.12337471
   0   12  0.00000000  0.00000000  0.00000000  0.00000000 -0.47545813
   0   13  0.00000000  0.00000000  0.00000000  0.00000000 -0.47545813
   0   14  0.00000000  0.00000000  0.00000000  0.00000000 -0.22212503
   0   15  0.00000000  0.00000000  0.00000000  0.00000000 -0.22212503
   0   16  0.00000000  0.00000000  0.00000000  0.00000000 -0.21883394
   0   17  0.00000000  0.00000000  0.00000000  0.00000000 -0.21883394
   0   18  0.00000000  0.00000000  0.00000000  0.00000000 -0.20782663
   0   19  0.00000000  0.00000000  0.00000000  0.00000000 -0.20782663
   0   20  0.00000000  0.00000000  0.00000000  0.00000000 -0.14187113
   0   21  0.00000000  0.00000000  0.00000000  0.00000000 -0.14187113
   0   22  0.00000000  0.00000000  0.00000000  0.00000000 -0.13556292
   0   23  0.00000000  0.00000000  0.00000000  0.00000000 -0.13556292
   0   24  0.00000000  0.00000000  0.00000000  0.00000000 -0.03212158
   0   25  0.00000000  0.00000000  0.00000000  0.00000000 -0.03212158
   0   26  0.00000000  0.00000000  0.00000000  0.00000000  0.25013232
   0   27  0.00000000  0.00000000  0.00000000  0.00000000  0.25013232
   0   28  0.00000000  0.00000000  0.00000000  0.00000000  0.25512798
   0   29  0.00000000  0.00000000  0.00000000  0.00000000  0.25512798
   0   30  0.00000000  0.00000000  0.00000000  0.00000000  0.25952217
   0   31  0.00000000  0.00000000  0.00000000  0.00000000  0.25952217
   0   32  0.00000000  0.00000000  0.00000000  0.00000000  0.25973424
   0   33  0.00000000  0.00000000  0.00000000  0.00000000  0.25973424
   0   34  0.00000000  0.00000000  0.00000000  0.00000000  0.49045605
   0   35  0.00000000  0.00000000  0.00000000  0.00000000  0.49045605
   0   36  0.00000000  0.00000000  0.00000000  0.00000000  0.69079316
   0   37  0.00000000  0.00000000  0.00000000  0.00000000  0.69079316
   0   38  0.00000000  0.00000000  0.00000000  0.00000000  0.70478273
   0   39  0.00000000  0.00000000  0.00000000  0.00000000  0.70478273
   0   40  0.00000000  0.00000000  0.00000000  0.00000000  0.73370768
   0   41  0.00000000  0.00000000  0.00000000  0.00000000  0.73370768
   0   42  0.00000000  0.00000000  0.00000000  0.00000000  0.85928660
   0   43  0.00000000  0.00000000  0.00000000  0.00000000  0.85928660
   1    0  0.00000000  0.01250000  0.00000000  0.09529360 -5.36618852
   1    1  0.00000000  0.01250000  0.00000000  0.09529360 -5.36618852
   1    2  0.00000000  0.01250000  0.00000000  0.09529360 -3.18447619
   1    3  0.00000000  0.01250000  0.00000000  0.09529360 -3.18447615
   1    4  0.00000000  0.01250000  0.00000000  0.09529360 -2.98310375
   1    5  0.00000000  0.01250000  0.00000000  0.09529360 -2.98310372
   1    6  0.00000000  0.01250000  0.00000000  0.09529360 -2.96773916
   1    7  0.00000000  0.01250000  0.00000000  0.09529360 -2.96773913
   1    8  0.00000000  0.01250000  0.00000000  0.09529360 -1.25095666
   1    9  0.00000000  0.01250000  0.00000000  0.09529360 -1.25095665
   1   10  0.00000000  0.01250000  0.00000000  0.09529360 -1.12322849
   1   11  0.00000000  0.01250000  0.00000000  0.09529360 -1.12322849
   1   12  0.00000000  0.01250000  0.00000000  0.09529360 -0.47528512
   1   13  0.00000000  0.01250000  0.00000000  0.09529360 -0.47528511
   1   14  0.00000000  0.01250000  0.00000000  0.09529360 -0.22232949
   1   15  0.00000000  0.01250000  0.00000000  0.09529360 -0.22232948
   1   16  0.00000000  0.01250000  0.00000000  0.09529360 -0.21898160
   1   17  0.00000000  0.01250000  0.00000000  0.09529360 -0.21898154
   1   18  0.00000000  0.01250000  0.00000000  0.09529360 -0.20859991
   1   19  0.00000000  0.01250000  0.00000000  0.09529360 -0.20859989
   1   20  0.00000000  0.01250000  0.00000000  0.09529360 -0.14169162
   1   21  0.00000000  0.01250000  0.00000000  0.09529360 -0.14169153
   1   22  0.00000000  0.01250000  0.00000000  0.09529360 -0.13534978
   1   23  0.00000000  0.01250000  0.00000000  0.09529360 -0.13534973
   1   24  0.00000000  0.01250000  0.00000000  0.09529360 -0.03210678
   1   25  0.00000000  0.01250000  0.00000000  0.09529360 -0.03210643
   1   26  0.00000000  0.01250000  0.00000000  0.09529360  0.25011289
   1   27  0.00000000  0.01250000  0.00000000  0.09529360  0.25011289
   1   28  0.00000000  0.01250000  0.00000000  0.09529360  0.25512426
   1   29  0.00000000  0.01250000  0.00000000  0.09529360  0.25512438
   1   30  0.00000000  0.01250000  0.00000000  0.09529360  0.25909826
   1   31  0.00000000  0.01250000  0.00000000  0.09529360  0.25909883
   1   32  0.00000000  0.01250000  0.00000000  0.09529360  0.25957796
   1   33  0.00000000  0.01250000  0.00000000  0.09529360  0.25957914
   1   34  0.00000000  0.01250000  0.00000000  0.09529360  0.49138139
   1   35  0.00000000  0.01250000  0.00000000  0.09529360  0.49138143
   1   36  0.00000000  0.01250000  0.00000000  0.09529360  0.69092144
   1   37  0.00000000  0.01250000  0.00000000  0.09529360  0.69092146
   1   38  0.00000000  0.01250000  0.00000000  0.09529360  0.70473685
   1   39  0.00000000  0.01250000  0.00000000  0.09529360  0.70473686
   1   40  0.00000000  0.01250000  0.00000000  0.09529360  0.73379883
   1   41  0.00000000  0.01250000  0.00000000  0.09529360  0.73379884
   1   42  0.00000000  0.01250000  0.00000000  0.09529360  0.79628797
   1   43  0.00000000  0.01250000  0.00000000  0.09529360  0.79628834
   2    0  0.00000000  0.02500000  0.00000000  0.19058720 -5.36618215
   2    1  0.00000000  0.02500000  0.00000000  0.19058720 -5.36618215
   2    2  0.00000000  0.02500000  0.00000000  0.19058720 -3.18452804
   2    3  0.00000000  0.02500000  0.00000000  0.19058720 -3.18452795
   2    4  0.00000000  0.02500000  0.00000000  0.19058720 -2.98312913
   2    5  0.00000000  0.02500000  0.00000000  0.19058720 -2.98312908
   2    6  0.00000000  0.02500000  0.00000000  0.19058720 -2.96786919
   2    7  0.00000000  0.02500000  0.00000000  0.19058720 -2.96786914
   2    8  0.00000000  0.02500000  0.00000000  0.19058720 -1.25014445
   2    9  0.00000000  0.02500000  0.00000000  0.19058720 -1.25014444
   2   10  0.00000000  0.02500000  0.00000000  0.19058720 -1.12279208
   2   11  0.00000000  0.02500000  0.00000000  0.19058720 -1.12279208
   2   12  0.00000000  0.02500000  0.00000000  0.19058720 -0.47476466
   2   13  0.00000000  0.02500000  0.00000000  0.19058720 -0.47476464
   2   14  0.00000000  0.02500000  0.00000000  0.19058720 -0.22318235
   2   15  0.00000000  0.02500000  0.00000000  0.19058720 -0.22318231
   2   16  0.00000000  0.02500000  0.00000000  0.19058720 -0.21918124
   2   17  0.00000000  0.02500000  0.00000000  0.19058720 -0.21918105
   2   18  0.00000000  0.02500000  0.00000000  0.19058720 -0.21079633
   2   19  0.00000000  0.02500000  0.00000000  0.19058720 -0.21079630
   2   20  0.00000000  0.02500000  0.00000000  0.19058720 -0.14164191
   2   21  0.00000000  0.02500000  0.00000000  0.19058720 -0.14164180
   2   22  0.00000000  0.02500000  0.00000000  0.19058720 -0.13436020
   2   23  0.00000000  0.02500000  0.00000000  0.19058720 -0.13436016
   2   24  0.00000000  0.02500000  0.00000000  0.19058720 -0.03207136
   2   25  0.00000000  0.02500000  0.00000000  0.19058720 -0.03207068
   2   26  0.00000000  0.02500000  0.00000000  0.19058720  0.24978395
   2   27  0.00000000  0.02500000  0.00000000  0.19058720  0.24978403
   2   28  0.00000000  0.02500000  0.00000000  0.19058720  0.25530585
   2   29  0.00000000  0.02500000  0.00000000  0.19058720  0.25530629
   2   30  0.00000000  0.02500000  0.00000000  0.19058720  0.25778333
   2   31  0.00000000  0.02500000  0.00000000  0.19058720  0.25778414
   2   32  0.00000000  0.02500000  0.00000000  0.19058720  0.25927084
   2   33  0.00000000  0.02500000  0.00000000  0.19058720  0.25927297
   2   34  0.00000000  0.02500000  0.00000000  0.19058720  0.49413083
   2   35  0.00000000  0.02500000  0.00000000  0.19058720  0.49413091
   2   36  0.00000000  0.02500000  0.00000000  0.19058720  0.69129888
   2   37  0.00000000  0.02500000  0.00000000  0.19058720  0.69129893
   2   38  0.00000000  0.02500000  0.00000000  0.19058720  0.70461999
   2   39  0.00000000  0.02500000  0.00000000  0.19058720  0.70462002
   2   40  0.00000000  0.02500000  0.00000000  0.19058720  0.73406792
   2   41  0.00000000  0.02500000  0.00000000  0.19058720  0.73406792
   2   42  0.00000000  0.02500000  0.00000000  0.19058720  0.77876427
   2   43  0.00000000  0.02500000  0.00000000  0.19058720  0.77876495
   3    0  0.00000000  0.03750000  0.00000000  0.28588080 -5.36617134
   3    1  0.00000000  0.03750000  0.00000000  0.28588080 -5.36617134
   3    2  0.00000000  0.03750000  0.00000000  0.28588080 -3.18461395
   3    3  0.00000000  0.03750000  0.00000000  0.28588080 -3.18461381
   3    4  0.00000000  0.03750000  0.00000000  0.28588080 -2.98317142
   3    5  0.00000000  0.03750000  0.00000000  0.28588080 -2.98317135
   3    6  0.00000000  0.03750000  0.00000000  0.28588080 -2.96808363
   3    7  0.00000000  0.03750000  0.00000000  0.28588080 -2.96808356
   3    8  0.00000000  0.03750000  0.00000000  0.28588080 -1.24879883
   3    9  0.00000000  0.03750000  0.00000000  0.28588080 -1.24879882
   3   10  0.00000000  0.03750000  0.00000000  0.28588080 -1.12207221
   3   11  0.00000000  0.03750000  0.00000000  0.28588080 -1.12207221
   3   12  0.00000000  0.03750000  0.00000000  0.28588080 -0.47389261
   3   13  0.00000000  0.03750000  0.00000000  0.28588080 -0.47389258
